CMDLINE python main.py
MEM 427.054688 1726230180.3480
MEM 427.507812 1726230180.4483
MEM 427.507812 1726230180.5486
MEM 427.507812 1726230180.6489
MEM 427.507812 1726230180.7491
MEM 427.507812 1726230180.8494
MEM 427.507812 1726230180.9497
MEM 427.507812 1726230181.0500
MEM 427.507812 1726230181.1503
MEM 427.507812 1726230181.2505
MEM 427.507812 1726230181.3508
MEM 427.980469 1726230181.4511
MEM 427.980469 1726230181.5514
MEM 427.980469 1726230181.6517
MEM 427.980469 1726230181.7520
MEM 427.980469 1726230181.8523
MEM 427.980469 1726230181.9526
MEM 427.980469 1726230182.0529
MEM 427.980469 1726230182.1531
MEM 427.980469 1726230182.2534
MEM 427.980469 1726230182.3537
MEM 428.449219 1726230182.4540
MEM 428.449219 1726230182.5543
MEM 428.449219 1726230182.6546
MEM 428.449219 1726230182.7549
MEM 428.449219 1726230182.8552
MEM 428.449219 1726230182.9555
MEM 428.449219 1726230183.0558
MEM 428.449219 1726230183.1560
MEM 428.449219 1726230183.2563
MEM 428.449219 1726230183.3567
MEM 428.937500 1726230183.4570
MEM 428.937500 1726230183.5573
MEM 428.937500 1726230183.6576
MEM 428.937500 1726230183.7578
MEM 428.937500 1726230183.8581
MEM 428.937500 1726230183.9584
MEM 428.937500 1726230184.0586
MEM 428.937500 1726230184.1589
MEM 428.937500 1726230184.2591
MEM 428.937500 1726230184.3594
MEM 429.496094 1726230184.4597
MEM 429.496094 1726230184.5599
MEM 429.496094 1726230184.6602
MEM 429.496094 1726230184.7605
MEM 429.496094 1726230184.8608
MEM 429.496094 1726230184.9611
MEM 429.496094 1726230185.0613
MEM 429.496094 1726230185.1616
MEM 429.496094 1726230185.2619
MEM 429.496094 1726230185.3621
MEM 429.542969 1726230185.4625
MEM 429.542969 1726230185.5627
MEM 429.542969 1726230185.6630
MEM 429.542969 1726230185.7632
MEM 429.542969 1726230185.8635
MEM 429.542969 1726230185.9638
MEM 429.542969 1726230186.0640
MEM 429.542969 1726230186.1643
MEM 429.542969 1726230186.2646
MEM 429.542969 1726230186.3649
MEM 429.539062 1726230186.4652
MEM 429.539062 1726230186.5655
MEM 429.539062 1726230186.6659
MEM 429.539062 1726230186.7662
MEM 429.539062 1726230186.8665
MEM 429.539062 1726230186.9669
MEM 429.539062 1726230187.0672
MEM 429.539062 1726230187.1674
MEM 429.539062 1726230187.2677
MEM 429.539062 1726230187.3680
MEM 429.648438 1726230187.4683
MEM 429.648438 1726230187.5686
MEM 429.648438 1726230187.6688
MEM 429.648438 1726230187.7691
MEM 429.648438 1726230187.8694
MEM 429.648438 1726230187.9697
MEM 429.648438 1726230188.0700
MEM 429.648438 1726230188.1702
MEM 429.648438 1726230188.2705
MEM 429.648438 1726230188.3707
MEM 430.105469 1726230188.4710
MEM 430.105469 1726230188.5713
MEM 430.105469 1726230188.6715
MEM 430.105469 1726230188.7719
MEM 430.105469 1726230188.8722
MEM 430.105469 1726230188.9725
MEM 430.105469 1726230189.0727
MEM 430.105469 1726230189.1730
MEM 430.105469 1726230189.2733
MEM 430.105469 1726230189.3736
MEM 430.582031 1726230189.4739
MEM 430.582031 1726230189.5742
MEM 430.582031 1726230189.6745
MEM 430.582031 1726230189.7747
MEM 430.582031 1726230189.8749
MEM 430.582031 1726230189.9752
MEM 430.582031 1726230190.0755
MEM 430.582031 1726230190.1758
MEM 430.582031 1726230190.2761
MEM 430.582031 1726230190.3763
MEM 431.046875 1726230190.4767
MEM 431.046875 1726230190.5770
MEM 431.046875 1726230190.6772
MEM 431.046875 1726230190.7775
MEM 431.046875 1726230190.8778
MEM 431.046875 1726230190.9781
MEM 431.046875 1726230191.0783
MEM 431.046875 1726230191.1786
MEM 431.046875 1726230191.2788
MEM 431.046875 1726230191.3791
MEM 431.531250 1726230191.4795
MEM 431.531250 1726230191.5797
MEM 431.531250 1726230191.6800
MEM 431.531250 1726230191.7802
MEM 431.531250 1726230191.8804
MEM 431.531250 1726230191.9807
MEM 431.531250 1726230192.0810
MEM 431.531250 1726230192.1813
MEM 431.531250 1726230192.2816
MEM 431.531250 1726230192.3819
MEM 432.085938 1726230192.4823
MEM 432.085938 1726230192.5825
MEM 432.085938 1726230192.6827
MEM 432.085938 1726230192.7829
MEM 432.085938 1726230192.8833
MEM 432.085938 1726230192.9836
MEM 432.085938 1726230193.0838
MEM 432.085938 1726230193.1841
MEM 432.085938 1726230193.2843
MEM 432.085938 1726230193.3846
MEM 432.136719 1726230193.4849
MEM 432.136719 1726230193.5852
MEM 432.136719 1726230193.6854
MEM 432.136719 1726230193.7857
MEM 432.136719 1726230193.8860
MEM 432.136719 1726230193.9863
MEM 432.136719 1726230194.0868
MEM 432.136719 1726230194.1870
MEM 432.136719 1726230194.2873
MEM 432.136719 1726230194.3876
MEM 432.128906 1726230194.4879
MEM 432.128906 1726230194.5882
MEM 432.128906 1726230194.6884
MEM 432.128906 1726230194.7886
MEM 432.128906 1726230194.8890
MEM 432.128906 1726230194.9893
MEM 432.128906 1726230195.0895
MEM 432.128906 1726230195.1898
MEM 432.128906 1726230195.2901
MEM 432.128906 1726230195.3904
MEM 432.234375 1726230195.4907
MEM 432.234375 1726230195.5911
MEM 432.234375 1726230195.6913
MEM 432.234375 1726230195.7915
MEM 432.234375 1726230195.8918
MEM 432.234375 1726230195.9921
MEM 432.234375 1726230196.0924
MEM 432.234375 1726230196.1926
MEM 432.234375 1726230196.2929
MEM 432.234375 1726230196.3932
MEM 432.691406 1726230196.4935
MEM 432.691406 1726230196.5938
MEM 432.691406 1726230196.6940
MEM 432.691406 1726230196.7945
MEM 432.691406 1726230196.8948
MEM 432.691406 1726230196.9951
MEM 432.691406 1726230197.0954
MEM 432.691406 1726230197.1957
MEM 432.691406 1726230197.2960
MEM 432.691406 1726230197.3963
MEM 433.160156 1726230197.4966
MEM 433.160156 1726230197.5969
MEM 433.160156 1726230197.6971
MEM 433.160156 1726230197.7974
MEM 433.160156 1726230197.8976
MEM 433.160156 1726230197.9979
MEM 433.160156 1726230198.0982
MEM 433.160156 1726230198.1985
MEM 433.160156 1726230198.2988
MEM 433.160156 1726230198.3991
MEM 433.628906 1726230198.4994
MEM 433.628906 1726230198.5996
MEM 433.628906 1726230198.6998
MEM 433.628906 1726230198.8001
MEM 433.628906 1726230198.9004
MEM 433.628906 1726230199.0007
MEM 433.628906 1726230199.1009
MEM 433.628906 1726230199.2012
MEM 433.628906 1726230199.3015
MEM 433.628906 1726230199.4018
MEM 434.097656 1726230199.5021
MEM 434.097656 1726230199.6023
MEM 434.097656 1726230199.7025
MEM 434.097656 1726230199.8029
MEM 434.097656 1726230199.9031
MEM 434.097656 1726230200.0034
MEM 434.097656 1726230200.1037
MEM 434.097656 1726230200.2039
MEM 434.097656 1726230200.3042
MEM 434.097656 1726230200.4045
MEM 434.652344 1726230200.5048
MEM 434.652344 1726230200.6051
MEM 434.652344 1726230200.7053
MEM 434.652344 1726230200.8055
MEM 434.652344 1726230200.9058
MEM 434.652344 1726230201.0060
MEM 434.652344 1726230201.1063
MEM 434.652344 1726230201.2066
MEM 434.652344 1726230201.3069
MEM 434.652344 1726230201.4072
MEM 434.703125 1726230201.5075
MEM 434.703125 1726230201.6078
MEM 434.703125 1726230201.7080
MEM 434.703125 1726230201.8082
MEM 434.703125 1726230201.9085
MEM 434.703125 1726230202.0088
MEM 434.703125 1726230202.1091
MEM 434.703125 1726230202.2093
MEM 434.703125 1726230202.3097
MEM 436.703125 1726230202.4100
MEM 434.695312 1726230202.5103
MEM 434.695312 1726230202.6105
MEM 434.695312 1726230202.7108
MEM 434.695312 1726230202.8111
MEM 434.695312 1726230202.9114
MEM 434.695312 1726230203.0117
MEM 434.695312 1726230203.1119
MEM 434.695312 1726230203.2122
MEM 434.695312 1726230203.3125
MEM 436.695312 1726230203.4128
MEM 434.789062 1726230203.5131
MEM 434.789062 1726230203.6134
MEM 434.789062 1726230203.7136
MEM 434.789062 1726230203.8138
MEM 434.789062 1726230203.9141
MEM 434.789062 1726230204.0144
MEM 434.789062 1726230204.1147
MEM 434.789062 1726230204.2150
MEM 434.789062 1726230204.3153
MEM 437.039062 1726230204.4156
MEM 435.253906 1726230204.5159
MEM 435.253906 1726230204.6161
MEM 435.253906 1726230204.7163
MEM 435.253906 1726230204.8166
MEM 435.253906 1726230204.9169
MEM 435.253906 1726230205.0171
MEM 435.253906 1726230205.1174
MEM 435.253906 1726230205.2177
MEM 435.253906 1726230205.3180
MEM 437.503906 1726230205.4183
MEM 435.722656 1726230205.5186
MEM 435.722656 1726230205.6188
MEM 435.722656 1726230205.7190
MEM 435.722656 1726230205.8193
MEM 435.722656 1726230205.9196
MEM 435.722656 1726230206.0198
MEM 435.722656 1726230206.1201
MEM 435.722656 1726230206.2204
MEM 435.722656 1726230206.3206
MEM 437.972656 1726230206.4209
MEM 436.187500 1726230206.5212
MEM 436.187500 1726230206.6215
